epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9025,1.45679,2.46255,1.55165,0.76148,0.55569,0.67151,0.39699,1.22649,2.15465,1.34606,0.000657143,0.000657143,0.000657143
2,19.4981,1.54432,2.089,1.59776,0.13008,0.13043,0.06355,0.02569,2.72236,3.13578,2.55977,0.0012976,0.0012976,0.0012976
3,29.1292,1.70951,2.12932,1.76405,0.27301,0.08696,0.14408,0.06338,2.13179,4.54323,2.71391,0.00191165,0.00191165,0.00191165
4,38.871,1.92451,2.30343,1.934,0.05451,0.17391,0.05164,0.0114,2.85534,9.72605,3.6967,0.0018812,0.0018812,0.0018812
5,48.8187,1.92942,2.34702,1.96656,0.17081,0.21739,0.1641,0.06015,2.06569,7.92722,2.53354,0.0018416,0.0018416,0.0018416
6,58.5025,1.86976,2.2827,1.91081,0.29954,0.43478,0.27561,0.12732,2.03004,2.67589,2.17443,0.001802,0.001802,0.001802
7,68.566,1.88595,2.26965,1.93726,0.15326,0.34783,0.17521,0.08577,2.08732,9.05145,2.51014,0.0017624,0.0017624,0.0017624
8,78.7038,1.79925,2.09951,1.88403,0.43415,0.30435,0.28755,0.11672,2.24786,2.50335,2.2226,0.0017228,0.0017228,0.0017228
9,88.6909,1.73345,2.10179,1.81491,0.72195,0.30435,0.44453,0.19587,1.89001,2.55491,2.02966,0.0016832,0.0016832,0.0016832
10,98.9139,1.70107,2.10731,1.77393,0.47456,0.47826,0.35806,0.12585,2.04362,2.75298,2.19883,0.0016436,0.0016436,0.0016436
11,109.001,1.64749,2.00884,1.74116,0.20445,0.53649,0.18915,0.06517,2.21268,2.81664,2.2314,0.001604,0.001604,0.001604
12,118.948,1.73589,2.01849,1.80932,0.37383,0.86957,0.49281,0.24753,1.69695,1.76612,1.82333,0.0015644,0.0015644,0.0015644
13,128.878,1.60413,1.85385,1.70715,0.56515,0.47826,0.57255,0.27451,2.06254,1.64246,2.22088,0.0015248,0.0015248,0.0015248
14,138.84,1.61557,1.88346,1.71271,0.46249,0.56522,0.51454,0.21453,1.9013,2.08298,1.80846,0.0014852,0.0014852,0.0014852
15,148.86,1.51326,1.908,1.65365,0.62269,0.6087,0.6056,0.24894,1.85261,1.83791,1.91775,0.0014456,0.0014456,0.0014456
16,158.939,1.51932,1.77745,1.62393,0.55689,0.76531,0.69261,0.3311,1.55079,1.57205,1.63354,0.001406,0.001406,0.001406
17,168.915,1.45784,1.6755,1.57463,0.55164,0.65217,0.54749,0.23115,2.10127,1.96401,2.12003,0.0013664,0.0013664,0.0013664
18,178.869,1.38818,1.65319,1.52788,0.63048,0.69565,0.76549,0.42215,1.45638,1.5465,1.51359,0.0013268,0.0013268,0.0013268
19,188.873,1.4178,1.64807,1.55085,0.55393,0.78261,0.6676,0.35136,1.8213,1.58881,1.9195,0.0012872,0.0012872,0.0012872
20,198.801,1.36354,1.59716,1.51794,0.61596,0.76741,0.75866,0.42809,1.55268,1.45946,1.59261,0.0012476,0.0012476,0.0012476
21,208.799,1.39306,1.59779,1.51589,0.52579,0.65217,0.66473,0.36852,1.49125,1.3916,1.49342,0.001208,0.001208,0.001208
22,218.793,1.31052,1.53332,1.47044,0.76216,0.83625,0.87085,0.49957,1.3965,1.17557,1.43727,0.0011684,0.0011684,0.0011684
23,228.946,1.34805,1.45488,1.48721,0.7411,0.82609,0.88479,0.49092,1.54011,1.20809,1.59633,0.0011288,0.0011288,0.0011288
24,238.902,1.30201,1.4354,1.47501,0.69622,0.65217,0.70615,0.40271,1.34913,1.3532,1.4887,0.0010892,0.0010892,0.0010892
25,248.854,1.24944,1.46829,1.4335,0.86881,0.73913,0.83566,0.53612,1.34656,1.168,1.4179,0.0010496,0.0010496,0.0010496
26,258.848,1.21257,1.36137,1.43235,0.69806,0.82609,0.82546,0.57972,1.20475,1.19853,1.28691,0.00101,0.00101,0.00101
27,268.842,1.22919,1.43222,1.39678,0.79484,0.6087,0.78378,0.51798,1.18405,1.18269,1.30428,0.0009704,0.0009704,0.0009704
28,278.747,1.12994,1.31495,1.35427,0.76322,0.70093,0.84978,0.56661,1.16526,1.18517,1.26938,0.0009308,0.0009308,0.0009308
29,288.708,1.18525,1.34274,1.3872,0.78877,0.81219,0.90334,0.60365,1.16297,1.07802,1.23348,0.0008912,0.0008912,0.0008912
30,298.68,1.14908,1.29854,1.35832,0.81489,0.86957,0.92135,0.58524,1.25504,1.08582,1.28235,0.0008516,0.0008516,0.0008516
31,308.577,1.10519,1.28511,1.3595,1,0.78044,0.93219,0.60247,1.34645,1.00288,1.33236,0.000812,0.000812,0.000812
32,318.488,1.09196,1.27486,1.34417,0.90151,0.79644,0.88586,0.62129,1.14926,1.1574,1.30626,0.0007724,0.0007724,0.0007724
33,328.484,1.10093,1.24432,1.34419,0.85166,0.78261,0.88891,0.61777,1.20235,1.04998,1.32248,0.0007328,0.0007328,0.0007328
34,338.38,1.15868,1.26836,1.36798,0.86166,0.81283,0.91579,0.58952,1.37464,1.04147,1.45334,0.0006932,0.0006932,0.0006932
